Artifact dir: /workspace/autoresearch/results/20260919_013651-baseline/exp000-baseline
Rows: train=1,714,630 validation=90,244
Vocab size: 50,304
Tokenized in 123.8s | mean train length: 66.7 | truncated: 0.23%
Model config: {'sequence_len': 256, 'vocab_size': 50304, 'n_layer': 10, 'n_head': 10, 'n_embd': 640, 'dropout': 0.1}
Parameter counts:
  wte                     : 32,194,560
  head                    : 641
  transformer_matrices    : 49,152,000
  total                   : 81,347,201
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Steps per epoch: 6,697 | total steps: 26,788
step 08600 (32.1%) | loss: 0.241206 | lrm: 1.00 | dt: 230ms | epoch: 1 | elapsed: 2226s | remaining: 4707s
step 08650 (32.3%) | loss: 0.231838 | lrm: 1.00 | dt: 284ms | epoch: 1 | elapsed: 2240s | remaining: 4696s
step 08700 (32.5%) | loss: 0.233347 | lrm: 1.00 | dt: 251ms | epoch: 1 | elapsed: 2253s | remaining: 4683s
step 08750 (32.7%) | loss: 0.231588 | lrm: 1.00 | dt: 219ms | epoch: 1 | elapsed: 2264s | remaining: 4666s
step 08800 (32.9%) | loss: 0.232846 | lrm: 1.00 | dt: 258ms | epoch: 1 | elapsed: 2277s | remaining: 4653s
step 08850 (33.0%) | loss: 0.233321 | lrm: 1.00 | dt: 259ms | epoch: 1 | elapsed: 2289s | remaining: 4640s
step 08900 (33.2%) | loss: 0.230993 | lrm: 1.00 | dt: 275ms | epoch: 1 | elapsed: 2303s | remaining: 4628s
step 08950 (33.4%) | loss: 0.230408 | lrm: 1.00 | dt: 249ms | epoch: 1 | elapsed: 2316s | remaining: 4614s
step 09000 (33.6%) | loss: 0.229868 | lrm: 1.00 | dt: 220ms | epoch: 1 | elapsed: 2327s | remaining: 4598s
step 09050 (33.8%) | loss: 0.233064 | lrm: 1.00 | dt: 251ms | epoch: 1 | elapsed: 2339s | remaining: 4584s
step 09100 (34.0%) | loss: 0.233829 | lrm: 1.00 | dt: 237ms | epoch: 1 | elapsed: 2351s | remaining: 4569s
step 09150 (34.2%) | loss: 0.230296 | lrm: 1.00 | dt: 275ms | epoch: 1 | elapsed: 2365s | remaining: 4558s
step 09200 (34.3%) | loss: 0.228521 | lrm: 1.00 | dt: 237ms | epoch: 1 | elapsed: 2377s | remaining: 4543s
step 09250 (34.5%) | loss: 0.232451 | lrm: 1.00 | dt: 253ms | epoch: 1 | elapsed: 2389s | remaining: 4529s
step 09300 (34.7%) | loss: 0.231653 | lrm: 1.00 | dt: 235ms | epoch: 1 | elapsed: 2401s | remaining: 4514s
step 09350 (34.9%) | loss: 0.233406 | lrm: 1.00 | dt: 215ms | epoch: 1 | elapsed: 2412s | remaining: 4497s
